"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"1"," United States"," US","  US"," RED",19481418,11621558,36275313,24653755,7859860,7859860,0,1552022,956674,3791712,2835038,595348,595348,0,"United States (Metropolitan Portion)",13845441884000,16504746972000,309321666,326687501,2659305088000,1.05614167033485,1.19207079920455
"2"," Abilene"," TX","  South"," RED",6808,6432,21881,15449,431,3167,-2736,910,609,2361,1752,310,220,90,"Abilene, TX (Metropolitan Statistical Area)",6103245000,6850284000,165585,171150,747039000,1.03360811667724,1.12240029689124
"3"," Akron"," OH","  Midwest"," RED",283,3307,69159,65852,-2597,13086,-15683,-376,0,7196,7196,-354,836,-1190,"Akron, OH (Metropolitan Statistical Area)",30124290000,32912839000,703031,703855,2788549000,1.00117206780355,1.09256812359727
"4"," Albany"," GA","  South"," RED",-7307,5423,18764,13341,-12853,865,-13718,-1114,350,1891,1541,-1465,51,-1516,"Albany, GA (Metropolitan Statistical Area)",5341783000,5324036000,154145,147840,-17747000,0.959096954166532,0.99667770105974
"5"," Albany"," OR","  West"," BLUE",13068,2217,13642,11425,10883,204,10679,2298,202,1512,1310,2087,21,2066,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3572329000,4418178000,116891,127451,845849000,1.09034057369686,1.23677802352471
"6"," Albany"," NY","  Northeast"," BLUE",9668,11001,83501,72500,-858,16398,-17256,-1882,469,8704,8235,-2342,1033,-3375,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",48892808000,52367618000,871082,882263,3474810000,1.01283576058282,1.07106996186433
"7"," Albuquerque"," NM","  West"," BLUE",30955,28587,95682,67095,2884,11273,-8389,3071,1577,9520,7943,1541,753,788,"Albuquerque, NM (Metropolitan Statistical Area)",37518103000,38444417000,889558,914947,926314000,1.02854114065637,1.02468978775393
"8"," Alexandria"," LA","  South"," RED",-1881,3625,18768,15143,-5434,657,-6091,-725,250,1875,1625,-976,15,-991,"Alexandria, LA (Metropolitan Statistical Area)",5612875000,5660041000,154096,152762,47166000,0.991343058872391,1.00840318018841
"9"," Allentown"," PA","  Northeast"," RED",22779,4407,78967,74560,18984,24110,-5126,1426,453,8556,8103,1008,1200,-192,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",37176686000,40511705000,821923,842626,3335019000,1.0251884908927,1.08970726976579
"10"," Altoona"," PA","  Northeast"," RED",-5288,-3044,11809,14853,-2137,266,-2403,-674,-473,1146,1619,-195,30,-225,"Altoona, PA (Metropolitan Statistical Area)",5167803000,5354290000,127045,122503,186487000,0.964248888189224,1.03608632140196
"11"," Amarillo"," TX","  South"," RED",13118,12500,33935,21435,497,6326,-5829,647,990,3314,2324,-342,482,-824,"Amarillo, TX (Metropolitan Statistical Area)",11254504000,12629493000,252664,264406,1374989000,1.04647278599246,1.12217233207256
"12"," Ames"," IA","  Midwest"," RED",7501,3771,11201,7430,3706,6347,-2641,258,324,1140,816,-69,340,-409,"Ames, IA (Metropolitan Statistical Area)",4797514000,5782942000,115925,123093,985428000,1.06183308173388,1.20540388209393
"13"," Anchorage"," AK","  West"," RED",15496,33779,54430,20651,-18670,9059,-27729,-1319,2798,5291,2493,-4126,380,-4506,"Anchorage, AK (Metropolitan Statistical Area)",22369669000,22598036000,383053,397636,228367000,1.0380704497811,1.01020877868153
"14"," Ann Arbor"," MI","  Midwest"," RED",22438,13531,33966,20435,9093,18202,-9109,-1882,1025,3473,2448,-2938,1160,-4098,"Ann Arbor, MI (Metropolitan Statistical Area)",18495449000,21963864000,345717,369483,3468415000,1.06874408837286,1.18752802378574
"15"," Anniston"," AL","  South"," RED",-4921,-926,12345,13271,-3943,554,-4497,-726,-263,1269,1532,-461,14,-475,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4545958000,3950436000,118408,114331,-595522000,0.965568204851024,0.868999669596595
"16"," Appleton"," WI","  Midwest"," RED",12307,10484,25919,15435,1991,1718,273,963,982,2658,1676,-10,117,-127,"Appleton, WI (Metropolitan Statistical Area)",10437458000,11806167000,225948,237011,1368709000,1.04896259316303,1.13113432408542
"17"," Asheville"," NC","  South"," RED",37817,-4461,40584,45045,41934,901,41033,3366,-868,4264,5132,4224,84,4140,"Asheville, NC (Metropolitan Statistical Area)",14911441000,17970247000,425338,459314,3058806000,1.0798800013166,1.20513148259783
"18"," Athens"," GA","  South"," RED",21183,7664,20479,12815,13387,4305,9082,2282,661,2178,1517,1628,352,1276,"Athens-Clarke County, GA (Metropolitan Statistical Area)",7616210000,8955390000,193439,211468,1339180000,1.09320250828427,1.17583286175145
"19"," Atlanta"," GA","  South"," RED",733646,343765,673437,329672,389077,144048,245029,75061,31449,72487,41038,43584,12541,31043,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",278698042000,357308437000,5302598,5945303,78610395000,1.12120568068709,1.2820629611743
"20"," Atlantic City"," NJ","  Northeast"," BLUE",-10855,3762,28213,24451,-14717,7275,-21992,-319,-75,2718,2793,-236,271,-507,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",13442438000,12863458000,274648,263989,-578980000,0.961190323614226,0.956928943990666
"21"," Auburn"," AL","  South"," RED",24255,7301,16800,9499,16776,4442,12334,886,692,1825,1133,191,303,-112,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4075679000,6013577000,140794,163656,1937898000,1.16237907865392,1.47547856443061
"22"," Augusta"," GA","  South"," RED",44087,19584,68807,49223,24442,5614,18828,4759,1519,7311,5792,3252,289,2963,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",22291829000,24690650000,566694,604221,2398821000,1.06622092346134,1.10760987804096
"23"," Austin"," TX","  South"," RED",510760,149806,239673,89867,355902,62740,293162,61586,14670,26115,11445,46614,5280,41334,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",92266233000,134416765000,1727502,2165497,42150532000,1.2535423982143,1.45683594777301
