City,Tech_2010
United States (Metropolitan Portion) *,727020547
"Abilene, TX (Metropolitan Statistical Area)",(D)
"Akron, OH (Metropolitan Statistical Area)",752966
"Albany, GA (Metropolitan Statistical Area)",(D)
"Albany-Lebanon, OR (Metropolitan Statistical Area)",50296
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1739709
"Albuquerque, NM (Metropolitan Statistical Area)",(D)
"Alexandria, LA (Metropolitan Statistical Area)",92844
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1834283
"Altoona, PA (Metropolitan Statistical Area)",204429
"Amarillo, TX (Metropolitan Statistical Area)",(D)
"Ames, IA (Metropolitan Statistical Area)",115730
"Anchorage, AK (Metropolitan Statistical Area)",889057
"Ann Arbor, MI (Metropolitan Statistical Area)",713999
"Anniston-Oxford, AL (Metropolitan Statistical Area)",111722
"Appleton, WI (Metropolitan Statistical Area)",295056
"Asheville, NC (Metropolitan Statistical Area)",316218
"Athens-Clarke County, GA (Metropolitan Statistical Area)",(D)
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",(D)
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",139725
"Auburn-Opelika, AL (Metropolitan Statistical Area)",65270
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",414384
"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",5660872
"Bakersfield, CA (Metropolitan Statistical Area)",441279
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",6465661
"Bangor, ME (Metropolitan Statistical Area)",148186
"Barnstable Town, MA (Metropolitan Statistical Area)",247066
"Baton Rouge, LA (Metropolitan Statistical Area)",(D)
"Battle Creek, MI (Metropolitan Statistical Area)",61705
"Bay City, MI (Metropolitan Statistical Area)",74667
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",263762
"Beckley, WV (Metropolitan Statistical Area)",117948
"Bellingham, WA (Metropolitan Statistical Area)",431846
"Bend, OR (Metropolitan Statistical Area)",168282
"Billings, MT (Metropolitan Statistical Area)",166220
"Binghamton, NY (Metropolitan Statistical Area)",406824
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2279183
"Bismarck, ND (Metropolitan Statistical Area)",124670
"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",81602
"Bloomington, IL (Metropolitan Statistical Area)",177575
"Bloomington, IN (Metropolitan Statistical Area)",(D)
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",89021
"Boise City, ID (Metropolitan Statistical Area)",(D)
