Geographical Area, Total Population Change - Decade, Natural Increase - Decade, Births - Decade, Deaths - Decade, Total - Decade, International - Decade, Domestic - Decade, Total Population Change - Annual, Natural Increase - Annual, Births - Annual, Deaths - Annual, Total - Annual, International - Annual, Domestic - Annual
United States,"19,481,418","11,621,558","36,275,313","24,653,755","7,859,860","7,859,860",0,"1,552,022","956,674","3,791,712","2,835,038","595,348","595,348",0
.In Micropolitan Statistical Area,"109,295","322,570","2,958,194","2,635,624","-212,885","218,599","-431,484","31,889","15,854","304,961","289,107","16,374","15,984",390
".Aberdeen, SD Micro Area","2,065","1,199","5,041","3,842",866,928,-62,-343,143,537,394,-485,21,-506
".Aberdeen, WA Micro Area","2,261",-504,"7,159","7,663","2,757",51,"2,706","1,260",-152,734,886,"1,407",-16,"1,423"
".Ada, OK Micro Area",796,849,"4,921","4,072",-24,397,-421,12,-22,487,509,36,42,-6
".Adrian, MI Micro Area","-1,448",216,"9,501","9,285","-1,653",365,"-2,018",310,-55,952,"1,007",372,5,367
".Alamogordo, NM Micro Area","3,658","2,995","8,450","5,455",585,"3,739","-3,154",831,319,934,615,513,263,250
".Albemarle, NC Micro Area","2,220",-3,"6,276","6,279","2,274",172,"2,102",626,-6,709,715,633,10,623
".Albert Lea, MN Micro Area",-973,-239,"3,115","3,354",-723,228,-951,-199,-38,314,352,-162,25,-187
".Albertville, AL Micro Area","3,755","2,099","12,326","10,227","1,750",818,932,604,240,"1,395","1,155",368,65,303
".Alexander City, AL Micro Area","-2,344","-1,177","5,001","6,178","-1,149",91,"-1,240",-148,-182,474,656,39,15,24
".Alexandria, MN Micro Area","2,130",78,"3,848","3,770","2,080",51,"2,029",181,-6,424,430,189,2,187
".Alice, TX Micro Area",-981,"2,292","7,203","4,911","-3,303",420,"-3,723",-264,121,652,531,-386,46,-432
".Alma, MI Micro Area","-1,767",-354,"3,694","4,048","-1,415",115,"-1,530",109,-57,366,423,167,7,160
".Alpena, MI Micro Area","-1,189",-912,"2,494","3,406",-250,65,-315,21,-62,280,342,84,8,76
".Altus, OK Micro Area","-1,916","1,458","3,813","2,355","-3,412",659,"-4,071",-245,144,359,215,-389,45,-434
".Americus, GA Micro Area","-3,047",520,"4,115","3,595","-3,609",260,"-3,869",-245,46,423,377,-294,39,-333
".Amsterdam, NY Micro Area","-1,043",211,"5,537","5,326","-1,243","1,067","-2,310",-173,80,613,533,-253,14,-267
".Andrews, TX Micro Area","3,919","1,488","2,782","1,294","2,381",190,"2,191",694,97,286,189,597,14,583
".Angola, IN Micro Area",447,494,"3,433","2,939",-15,83,-98,107,-12,336,348,121,15,106
".Arcadia, FL Micro Area","3,139",567,"3,546","2,979","2,581","1,484","1,097",633,27,389,362,604,154,450
".Ardmore, OK Micro Area","1,219",561,"7,220","6,659",691,242,449,-5,17,743,726,-20,10,-30
".Arkadelphia, AR Micro Area",-671,-109,"2,210","2,319",-564,100,-664,7,-8,233,241,16,2,14
".Ashland, OH Micro Area",344,473,"5,636","5,163",-119,759,-878,-222,6,586,580,-229,56,-285
".Ashtabula, OH Micro Area","-4,248",-515,"10,325","10,840","-3,730",598,"-4,328",-346,-32,"1,111","1,143",-313,-6,-307
".Astoria, OR Micro Area","3,198",153,"3,788","3,635","3,034",107,"2,927",513,-21,377,398,530,-12,542
".Atchison, KS Micro Area",-848,143,"1,809","1,666",-996,-15,-981,-100,-8,162,170,-92,-2,-90
".Athens, OH Micro Area",563,406,"4,894","4,488",52,"2,277","-2,225",-192,-17,477,494,-177,128,-305
".Athens, TN Micro Area","1,507",-827,"5,308","6,135","2,373",554,"1,819",458,-65,591,656,526,73,453
".Athens, TX Micro Area","4,159","-1,376","8,297","9,673","5,569",241,"5,328",634,-211,894,"1,105",845,9,836
".Atmore, AL Micro Area","-1,687",-234,"4,108","4,342","-1,439",-2,"-1,437",109,-54,420,474,165,-1,166
