Index, City, State,  Region, Political Leaning
1, United States, US,  US, RED
2, Abilene, TX,  South, RED
3, Akron, OH,  Midwest, RED
4, Albany, GA,  South, RED
5, Albany-Lebanon, OR,  West, BLUE
6, Albany-Schenectady-Troy, NY,  Northeast, BLUE
7, Albuquerque, NM,  West, BLUE
8, Alexandria, LA,  South, RED
9, Allentown-Bethlehem-Easton, PA,  Northeast, RED
10, Altoona, PA,  Northeast, RED
11, Amarillo, TX,  South, RED
12, Ames, IA,  Midwest, RED
13, Anchorage, AK,  West, RED
14, Ann Arbor, MI,  Midwest, RED
15, Anniston-Oxford, AL,  South, RED
16, Appleton, WI,  Midwest, RED
17, Asheville, NC,  South, RED
18, Athens-Clarke County, GA,  South, RED
19, Atlanta-Sandy Springs-Alpharetta, GA,  South, RED
20, Atlantic City-Hammonton, NJ,  Northeast, BLUE
21, Auburn-Opelika, AL,  South, RED
22, Augusta-Richmond County, GA,  South, RED
23, Austin-Round Rock-Georgetown, TX,  South, RED
24, Bakersfield, CA,  West, BLUE
25, Baltimore-Columbia-Towson, MD,  South, BLUE
26, Bangor, ME,  Northeast, BLUE
27, Barnstable Town, MA,  Northeast, BLUE
28, Baton Rouge, LA,  South, RED
29, Battle Creek, MI,  Midwest, RED
30, Bay City, MI,  Midwest, RED
31, Beaumont-Port Arthur, TX,  South, RED
32, Beckley, WV,  South, RED
33, Bellingham, WA,  West, BLUE
34, Bend, OR,  West, BLUE
35, Billings, MT,  West, RED
36, Binghamton, NY,  Northeast, BLUE
37, Birmingham-Hoover, AL,  South, RED
38, Bismarck, ND,  Midwest, RED
39, Blacksburg-Christiansburg, VA,  South, BLUE
40, Bloomington, IL,  Midwest, BLUE
41, Bloomington, IN,  Midwest, RED
42, Bloomsburg-Berwick, PA,  Northeast, RED
43, Boise City, ID,  West, RED
44, Boston-Cambridge-Newton, MA,  Northeast, BLUE
45, Boulder, CO,  West, BLUE
46, Bowling Green, KY,  South, RED
47, Bremerton-Silverdale-Port Orchard, WA,  West, BLUE
48, Bridgeport-Stamford-Norwalk, CT,  Northeast, BLUE
49, Brownsville-Harlingen, TX,  South, RED
50, Brunswick, GA,  South, RED
51, Buffalo-Cheektowaga, NY,  Northeast, BLUE
52, Burlington, NC,  South, RED
53, Burlington-South Burlington, VT,  Northeast, BLUE
54, California-Lexington Park, MD,  South, BLUE
55, Canton-Massillon, OH,  Midwest, RED
56, Cape Coral-Fort Myers, FL,  South, RED
57, Cape Girardeau, MO,  Midwest, RED
58, Carbondale-Marion, IL,  Midwest, BLUE
59, Carson City, NV,  West, BLUE
60, Casper, WY,  West, RED
61, Cedar Rapids, IA,  Midwest, RED
62, Chambersburg-Waynesboro, PA,  Northeast, RED
63, Champaign-Urbana, IL,  Midwest, BLUE
64, Charleston, WV,  South, RED
65, Charleston-North Charleston, SC,  South, RED
66, Charlotte-Concord-Gastonia, NC,  South, RED
67, Charlottesville, VA,  South, BLUE
68, Chattanooga, TN,  South, RED
69, Cheyenne, WY,  West, RED
70, Chicago-Naperville-Elgin, IL,  Midwest, BLUE
71, Chico, CA,  West, BLUE
72, Cincinnati, OH,  Midwest, RED
73, Clarksville, TN,  South, RED
74, Cleveland, TN,  South, RED
75, Cleveland-Elyria, OH,  Midwest, RED
76, Alene, ID,  West, RED
77, College Station-Bryan, TX,  South, RED
78, Colorado Springs, CO,  West, BLUE
79, Columbia, MO,  Midwest, RED
80, Columbia, SC,  South, RED
81, Columbus, GA,  South, RED
82, Columbus, IN,  Midwest, RED
83, Columbus, OH,  Midwest, RED
84, Corpus Christi, TX,  South, RED
85, Corvallis, OR,  West, BLUE
86, Crestview-Fort Walton Beach-Destin, FL,  South, RED
87, Cumberland, MD,  South, BLUE
88, Dallas-Fort Worth-Arlington, TX,  South, RED
89, Dalton, GA,  South, RED
90, Danville, IL,  Midwest, BLUE
91, Daphne-Fairhope-Foley, AL,  South, RED
92, Davenport-Moline-Rock Island, IA,  Midwest, RED
93, Dayton-Kettering, OH,  Midwest, RED
94, Decatur, AL,  South, RED
95, Decatur, IL,  Midwest, BLUE
96, Deltona-Daytona Beach-Ormond Beach, FL,  South, RED
97, Denver-Aurora-Lakewood, CO,  West, BLUE
98, Des Moines-West Des Moines, IA,  Midwest, RED
99, Detroit-Warren-Dearborn, MI,  Midwest, RED
100, Dothan, AL,  South, RED
101, Dover, DE,  South, BLUE
102, Dubuque, IA,  Midwest, RED
103, Duluth, MN,  Midwest, BLUE
104, Durham-Chapel Hill, NC,  South, RED
105, East Stroudsburg, PA,  Northeast, RED
106, Eau Claire, WI,  Midwest, RED
107, El Centro, CA,  West, BLUE
108, Elizabethtown-Fort Knox, KY,  South, RED
109, Elkhart-Goshen, IN,  Midwest, RED
110, Elmira, NY,  Northeast, BLUE
111, El Paso, TX,  South, RED
112, Enid, OK,  South, RED
113, Erie, PA,  Northeast, RED
114, Eugene-Springfield, OR,  West, BLUE
115, Evansville, IN,  Midwest, RED
116, Fairbanks, AK,  West, RED
117, Fargo, ND,  Midwest, RED
118, Farmington, NM,  West, BLUE
119, Fayetteville, NC,  South, RED
120, Fayetteville-Springdale-Rogers, AR,  South, RED
121, Flagstaff, AZ,  West, RED
122, Flint, MI,  Midwest, RED
123, Florence, SC,  South, RED
124, Florence-Muscle Shoals, AL,  South, RED
125, Fond du Lac, WI,  Midwest, RED
126, Fort Collins, CO,  West, BLUE
127, Fort Smith, AR,  South, RED
128, Fort Wayne, IN,  Midwest, RED
129, Fresno, CA,  West, BLUE
130, Gadsden, AL,  South, RED
131, Gainesville, FL,  South, RED
132, Gainesville, GA,  South, RED
133, Gettysburg, PA,  Northeast, RED
134, Glens Falls, NY,  Northeast, BLUE
135, Goldsboro, NC,  South, RED
136, Grand Forks, ND,  Midwest, RED
137, Grand Island, NE,  Midwest, RED
138, Grand Junction, CO,  West, BLUE
139, Grand Rapids-Kentwood, MI,  Midwest, RED
140, Grants Pass, OR,  West, BLUE
141, Great Falls, MT,  West, RED
142, Greeley, CO,  West, BLUE
143, Green Bay, WI,  Midwest, RED
144, Greensboro-High Point, NC,  South, RED
145, Greenville, NC,  South, RED
146, Greenville-Anderson, SC,  South, RED
147, Gulfport-Biloxi, MS,  South, RED
148, Hagerstown-Martinsburg, MD,  South, BLUE
149, Hammond, LA,  South, RED
150, Hanford-Corcoran, CA,  West, BLUE
151, Harrisburg-Carlisle, PA,  Northeast, RED
152, Harrisonburg, VA,  South, BLUE
153, Hartford-East Hartford-Middletown, CT,  Northeast, BLUE
154, Hattiesburg, MS,  South, RED
155, Hickory-Lenoir-Morganton, NC,  South, RED
156, Hilton Head Island-Bluffton, SC,  South, RED
157, Hinesville, GA,  South, RED
158, Homosassa Springs, FL,  South, RED
159, Hot Springs, AR,  South, RED
160, Houma-Thibodaux, LA,  South, RED
161, Houston-The Woodlands-Sugar Land, TX,  South, RED
162, Huntington-Ashland, WV,  South, RED
163, Huntsville, AL,  South, RED
164, Idaho Falls, ID,  West, RED
165, Indianapolis-Carmel-Anderson, IN,  Midwest, RED
166, Iowa City, IA,  Midwest, RED
167, Ithaca, NY,  Northeast, BLUE
168, Jackson, MI,  Midwest, RED
169, Jackson, MS,  South, RED
170, Jackson, TN,  South, RED
171, Jacksonville, FL,  South, RED
172, Jacksonville, NC,  South, RED
173, Janesville-Beloit, WI,  Midwest, RED
174, Jefferson City, MO,  Midwest, RED
175, Johnson City, TN,  South, RED
176, Johnstown, PA,  Northeast, RED
177, Jonesboro, AR,  South, RED
178, Joplin, MO,  Midwest, RED
179, Kahului-Wailuku-Lahaina, HI,  West, BLUE
180, Kalamazoo-Portage, MI,  Midwest, RED
181, Kankakee, IL,  Midwest, BLUE
182, Kansas City, MO,  Midwest, RED
183, Kennewick-Richland, WA,  West, BLUE
184, Killeen-Temple, TX,  South, RED
185, Kingsport-Bristol, TN,  South, RED
186, Kingston, NY,  Northeast, BLUE
187, Knoxville, TN,  South, RED
188, Kokomo, IN,  Midwest, RED
189, La Crosse-Onalaska, WI,  Midwest, RED
190, Lafayette, LA,  South, RED
191, Lafayette-West Lafayette, IN,  Midwest, RED
192, Lake Charles, LA,  South, RED
193, Lake Havasu City-Kingman, AZ,  West, RED
194, Lakeland-Winter Haven, FL,  South, RED
195, Lancaster, PA,  Northeast, RED
196, Lansing-East Lansing, MI,  Midwest, RED
197, Laredo, TX,  South, RED
198, Las Cruces, NM,  West, BLUE
199, Las Vegas-Henderson-Paradise, NV,  West, BLUE
200, Lawrence, KS,  Midwest, RED
201, Lawton, OK,  South, RED
202, Lebanon, PA,  Northeast, RED
203, Lewiston, ID,  West, RED
204, Lewiston-Auburn, ME,  Northeast, BLUE
205, Lexington-Fayette, KY,  South, RED
206, Lima, OH,  Midwest, RED
207, Lincoln, NE,  Midwest, RED
208, Little Rock-North Little Rock-Conway, AR,  South, RED
209, Logan, UT,  West, RED
210, Longview, TX,  South, RED
211, Longview, WA,  West, BLUE
212, Los Angeles-Long Beach-Anaheim, CA,  West, BLUE
213, Louisville/Jefferson County, KY,  South, RED
214, Lubbock, TX,  South, RED
215, Lynchburg, VA,  South, BLUE
216, Macon-Bibb County, GA,  South, RED
217, Madera, CA,  West, BLUE
218, Madison, WI,  Midwest, RED
219, Manchester-Nashua, NH,  Northeast, BLUE
220, Manhattan, KS,  Midwest, RED
221, Mankato, MN,  Midwest, BLUE
222, Mansfield, OH,  Midwest, RED
223, McAllen-Edinburg-Mission, TX,  South, RED
224, Medford, OR,  West, BLUE
225, Memphis, TN,  South, RED
226, Merced, CA,  West, BLUE
227, Miami-Fort Lauderdale-Pompano Beach, FL,  South, RED
228, Michigan City-La Porte, IN,  Midwest, RED
229, Midland, MI,  Midwest, RED
230, Midland, TX,  South, RED
231, Milwaukee-Waukesha, WI,  Midwest, RED
232, Minneapolis-St. Paul-Bloomington, MN,  Midwest, BLUE
233, Missoula, MT,  West, RED
234, Mobile, AL,  South, RED
235, Modesto, CA,  West, BLUE
236, Monroe, LA,  South, RED
237, Monroe, MI,  Midwest, RED
238, Montgomery, AL,  South, RED
239, Morgantown, WV,  South, RED
240, Morristown, TN,  South, RED
241, Mount Vernon-Anacortes, WA,  West, BLUE
242, Muncie, IN,  Midwest, RED
243, Muskegon, MI,  Midwest, RED
244, Myrtle Beach-Conway-North Myrtle Beach, SC,  South, RED
245, Napa, CA,  West, BLUE
246, Naples-Marco Island, FL,  South, RED
247, Nashville-Davidson--Murfreesboro--Franklin, TN,  South, RED
248, New Bern, NC,  South, RED
249, New Haven-Milford, CT,  Northeast, BLUE
250, New Orleans-Metairie, LA,  South, RED
251, New York-Newark-Jersey City, NY,  Northeast, BLUE
252, Niles, MI,  Midwest, RED
253, North Port-Sarasota-Bradenton, FL,  South, RED
254, Norwich-New London, CT,  Northeast, BLUE
