City, State,  Region, Political Leaning
United States, US,  US, RED
Abilene, TX,  South, RED
Akron, OH,  Midwest, RED
Albany, GA,  South, RED
Albany-Lebanon, OR,  West, BLUE
Albany-Schenectady-Troy, NY,  Northeast, BLUE
Albuquerque, NM,  West, BLUE
Alexandria, LA,  South, RED
Allentown-Bethlehem-Easton, PA,  Northeast, RED
Altoona, PA,  Northeast, RED
Amarillo, TX,  South, RED
Ames, IA,  Midwest, RED
Anchorage, AK,  West, RED
Ann Arbor, MI,  Midwest, RED
Anniston-Oxford, AL,  South, RED
Appleton, WI,  Midwest, RED
Asheville, NC,  South, RED
Athens-Clarke County, GA,  South, RED
Atlanta-Sandy Springs-Alpharetta, GA,  South, RED
Atlantic City-Hammonton, NJ,  Northeast, BLUE
Auburn-Opelika, AL,  South, RED
Augusta-Richmond County, GA,  South, RED
Austin-Round Rock-Georgetown, TX,  South, RED
Bakersfield, CA,  West, BLUE
Baltimore-Columbia-Towson, MD,  South, BLUE
Bangor, ME,  Northeast, BLUE
Barnstable Town, MA,  Northeast, BLUE
Baton Rouge, LA,  South, RED
Battle Creek, MI,  Midwest, RED
Bay City, MI,  Midwest, RED
Beaumont-Port Arthur, TX,  South, RED
Beckley, WV,  South, RED
Bellingham, WA,  West, BLUE
Bend, OR,  West, BLUE
Billings, MT,  West, RED
Binghamton, NY,  Northeast, BLUE
Birmingham-Hoover, AL,  South, RED
Bismarck, ND,  Midwest, RED
Blacksburg-Christiansburg, VA,  South, BLUE
Bloomington, IL,  Midwest, BLUE
Bloomington, IN,  Midwest, RED
Bloomsburg-Berwick, PA,  Northeast, RED
Boise City, ID,  West, RED
Boston-Cambridge-Newton, MA,  Northeast, BLUE
Boulder, CO,  West, BLUE
Bowling Green, KY,  South, RED
Bremerton-Silverdale-Port Orchard, WA,  West, BLUE
Bridgeport-Stamford-Norwalk, CT,  Northeast, BLUE
Brownsville-Harlingen, TX,  South, RED
Brunswick, GA,  South, RED
Buffalo-Cheektowaga, NY,  Northeast, BLUE
Burlington, NC,  South, RED
Burlington-South Burlington, VT,  Northeast, BLUE
California-Lexington Park, MD,  South, BLUE
Canton-Massillon, OH,  Midwest, RED
Cape Coral-Fort Myers, FL,  South, RED
Cape Girardeau, MO,  Midwest, RED
Carbondale-Marion, IL,  Midwest, BLUE
Carson City, NV,  West, BLUE
Casper, WY,  West, RED
Cedar Rapids, IA,  Midwest, RED
Chambersburg-Waynesboro, PA,  Northeast, RED
Champaign-Urbana, IL,  Midwest, BLUE
Charleston, WV,  South, RED
Charleston-North Charleston, SC,  South, RED
Charlotte-Concord-Gastonia, NC,  South, RED
Charlottesville, VA,  South, BLUE
Chattanooga, TN,  South, RED
Cheyenne, WY,  West, RED
Chicago-Naperville-Elgin, IL,  Midwest, BLUE
Chico, CA,  West, BLUE
Cincinnati, OH,  Midwest, RED
Clarksville, TN,  South, RED
Cleveland, TN,  South, RED
Cleveland-Elyria, OH,  Midwest, RED
Alene, ID,  West, RED
College Station-Bryan, TX,  South, RED
Colorado Springs, CO,  West, BLUE
Columbia, MO,  Midwest, RED
Columbia, SC,  South, RED
Columbus, GA,  South, RED
Columbus, IN,  Midwest, RED
Columbus, OH,  Midwest, RED
Corpus Christi, TX,  South, RED
Corvallis, OR,  West, BLUE
Crestview-Fort Walton Beach-Destin, FL,  South, RED
Cumberland, MD,  South, BLUE
Dallas-Fort Worth-Arlington, TX,  South, RED
Dalton, GA,  South, RED
Danville, IL,  Midwest, BLUE
Daphne-Fairhope-Foley, AL,  South, RED
Davenport-Moline-Rock Island, IA,  Midwest, RED
Dayton-Kettering, OH,  Midwest, RED
Decatur, AL,  South, RED
Decatur, IL,  Midwest, BLUE
Deltona-Daytona Beach-Ormond Beach, FL,  South, RED
Denver-Aurora-Lakewood, CO,  West, BLUE
Des Moines-West Des Moines, IA,  Midwest, RED
Detroit-Warren-Dearborn, MI,  Midwest, RED
Dothan, AL,  South, RED
Dover, DE,  South, BLUE
Dubuque, IA,  Midwest, RED
Duluth, MN,  Midwest, BLUE
Durham-Chapel Hill, NC,  South, RED
East Stroudsburg, PA,  Northeast, RED
Eau Claire, WI,  Midwest, RED
El Centro, CA,  West, BLUE
Elizabethtown-Fort Knox, KY,  South, RED
Elkhart-Goshen, IN,  Midwest, RED
Elmira, NY,  Northeast, BLUE
El Paso, TX,  South, RED
Enid, OK,  South, RED
Erie, PA,  Northeast, RED
Eugene-Springfield, OR,  West, BLUE
Evansville, IN,  Midwest, RED
